Fixture_ID,Team_1,Team_2,Team_1_goals,Team_2_goals,ALFIE_rating,Total_goals
12622775,Old Brentwoods III,Old Cholmeleians IV,7,3,2.0,10
12622776,Old Citizens,Old Brentwoods IV,4,3,4.0,7
12622777,Old Foresters III,Old Malvernians II,1,5,2.0,6
12612348,KCS Old Boys,Lancing Old Boys,0,2,2.0,2
12612347,Old Brentwoods,Old Harrovians,1,3,3.0,4
12612349,Old Tonbridgians,Old Carthusians,1,8,0.0,9
12622594,Old Bradfieldians,Old Radleians,3,6,3.0,9
12622595,Old King's Scholars,Old Malvernians,1,2,4.0,3
12622596,Old Wykehamists,Old Aldenhamians,1,2,4.0,3
12622656,Old Carthusians II,Old Wellingtonians,2,0,2.0,2
12622657,Old Reptonians,Old Carthusians III,2,2,5.0,4
12622705,Kings College Wimbledon II,Old Marlburians,1,5,2.0,6
12622704,Old Foresters II,Old Brentwoods II,6,2,2.0,8
12622736,Old Epsomians,Old Eastbournians,2,1,4.0,3
12622737,Old Westminsters II,Old Cholmeleians III,5,2,2.0,7
12622778,Old Chigwellians IV,Old Brentwoods IV,3,1,3.0,4
12622779,Old Cholmeleians IV,Old Foresters IV,2,3,4.0,5
12622780,Old Foresters III,Old Citizens,1,5,2.0,6
12612353,KCS Old Boys,Old Carthusians,0,1,3.0,1
12612350,Old Brentwoods,Old Foresters,5,1,2.0,6
12612351,Old Chigwellians,Old Etonians,0,0,4.0,0
12612352,Old Cholmeleians,Old Tonbridgians,2,1,4.0,3
12622597,Old Bradfieldians,Old Aldenhamians,4,2,3.0,6
12622598,Old Haileyburians,Old King's Scholars,2,3,4.0,5
12622599,Old Radleians,Old Wykehamists,2,3,4.0,5
12622600,Old Westminsters,Old Malvernians,3,2,4.0,5
12622658,Old Carthusians II,Old Reptonians,1,1,4.0,2
12622659,Old Cholmeleians II,Old Wellingtonians,1,1,4.0,2
12622660,Old Haberdashers,Old Carthusians III,3,6,3.0,9
12622706,Old Aldenhamians II,Old Foresters II,4,2,3.0,6
12622707,Old Brentwoods II,Old Marlburians,2,6,2.0,8
12622738,Old Berkhamstedians,Old Westminsters II,2,1,4.0,3
12622739,Old Epsomians,Old Amplefordians,4,3,4.0,7
12622781,Old Chigwellians IV,Old Cholmeleians IV,2,3,4.0,5
12622782,Old Citizens,Old Brentwoods III,9,0,0.0,9
12622783,Old Foresters IV,Old Malvernians II,0,9,0.0,9
12612354,Old Carthusians,Old Cholmeleians,2,2,5.0,4
12612355,Old Foresters,Old Etonians,3,2,4.0,5
12622601,Old Haileyburians,Old Bradfieldians,2,0,2.0,2
12622602,Old Salopians,Old Wykehamists,2,1,4.0,3
12622603,Old Westminsters,Old Aldenhamians,5,0,0.0,5
12622661,Old Carthusians III,Old Reptonians,3,2,4.0,5
12622662,Old Chigwellians II,Old Carthusians II,1,4,2.0,5
12622708,Kings College Wimbledon II,Old Wykehamists II,3,1,3.0,4
12622709,Old Marlburians,Old Etonians II,5,2,2.0,7
12622740,Old Chigwellians III,Old Westminsters II,4,1,2.0,5
12622741,Old Cholmeleians III,Old Amplefordians,5,1,2.0,6
12622742,Old Eastbournians,Old Berkhamstedians,1,1,4.0,2
12622784,Old Foresters III,Old Cholmeleians IV,3,0,2.0,3
12612356,Old Brentwoods,Old Chigwellians,2,3,4.0,5
12612357,Old Foresters,Old Cholmeleians,2,3,4.0,5
12622604,Old Aldenhamians,Old Salopians,2,4,3.0,6
12622605,Old Bradfieldians,Old Wykehamists,4,4,6.0,8
12622663,Old Chigwellians II,Old Wellingtonians,3,0,2.0,3
12622664,Old Reptonians,Old Cholmeleians II,7,1,0.0,8
12622711,Kings College Wimbledon II,Old Aldenhamians II,3,4,4.0,7
12622710,Old Brentwoods II,Old Wykehamists II,2,1,4.0,3
12622743,Old Berkhamstedians,Old Cholmeleians III,0,1,3.0,1
12622744,Old Eastbournians,Old Amplefordians,5,2,2.0,7
12622745,Old Epsomians,Old Chigwellians III,5,2,2.0,7
12622785,Old Brentwoods III,Old Brentwoods IV,0,4,1.0,4
12622786,Old Foresters III,Old Foresters IV,1,2,4.0,3
