Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games
Icarus,Old Cholmeleians II,2,1,3,4.0,1
Icarus,Old Foresters,1,3,4,3.0,1
Inter London,Old Haberdashers,4,9,13,1.0,1
Jersey Royals,Old Rugbeians,0,4,4,1.0,1
John Fisher Old Boys,Old Carthusians III,1,4,5,2.0,1
KCS Old Boys,Dorkinians,0,1,1,3.0,1
KCS Old Boys,Economicals,8,3,11,2.5,2
KCS Old Boys,Glyn Old Boys,6,8,14,4.5,2
KCS Old Boys,Honourable Artillery Company,1,4,5,2.0,1
KCS Old Boys,IB Albion,3,5,8,4.0,1
KCS Old Boys,KCS Old Boys Vets,0,0,0,4.0,1
KCS Old Boys,KCS Wimbledon 1st XI,5,1,6,2.0,1
KCS Old Boys,"King's College School, Wimbledon 1st XI",15,14,29,1.8333333333333333,6
KCS Old Boys,Kings College Wimbledon II,5,5,10,5.0,2
KCS Old Boys,Kings College Wimbledon III,0,0,0,4.0,1
KCS Old Boys,Lancing Old Boys,18,17,35,3.1,10
KCS Old Boys,Montpellier Villa FC,1,1,2,4.0,1
KCS Old Boys,Old Actonians Association FC,3,4,7,4.0,1
KCS Old Boys,Old Aldenhamians,16,1,17,1.3333333333333333,3
KCS Old Boys,Old Alleynians,20,36,56,2.6,10
KCS Old Boys,Old Alleynians AFC,9,2,11,1.5,2
KCS Old Boys,Old Amplefordians,7,1,8,0.0,1
KCS Old Boys,Old Blues,4,0,4,1.0,1
KCS Old Boys,Old Bradfieldians,61,31,92,2.75,16
KCS Old Boys,Old Brentwoods,42,24,66,2.933333333333333,15
KCS Old Boys,Old Bromleians,2,1,3,4.0,1
KCS Old Boys,Old Carthusians,23,57,80,2.8095238095238093,21
KCS Old Boys,Old Chigwellians,24,18,42,3.1666666666666665,12
KCS Old Boys,Old Cholmeleians,25,14,39,3.272727272727273,11
KCS Old Boys,Old Eastbournians,7,1,8,0.0,1
KCS Old Boys,Old Etonians,44,56,100,2.96,25
KCS Old Boys,Old Foresters,43,51,94,3.4761904761904763,21
KCS Old Boys,Old Haileyburians,12,3,15,1.0,2
KCS Old Boys,Old Harrovians,29,21,50,2.933333333333333,15
KCS Old Boys,Old Johnians,2,2,4,5.0,1
KCS Old Boys,Old Josephians,16,0,16,1.0,1
KCS Old Boys,Old Kimboltonians,14,5,19,1.5,2
KCS Old Boys,Old King's Scholars,21,1,22,0.3333333333333333,3
KCS Old Boys,Old Malvernians,5,0,5,0.0,1
KCS Old Boys,Old Marlburians,11,6,17,3.3333333333333335,6
KCS Old Boys,Old Parmiterians,3,1,4,3.0,1
KCS Old Boys,Old Radleians,6,5,11,3.6666666666666665,3
KCS Old Boys,Old Reptonians,30,39,69,2.6,15
KCS Old Boys,Old Rugbeians,2,1,3,4.0,1
KCS Old Boys,Old Salopians,31,29,60,2.857142857142857,14
KCS Old Boys,Old Shirburnians,4,2,6,3.0,1
KCS Old Boys,Old Tiffinians,9,1,10,0.0,1
KCS Old Boys,Old Tonbridgians,47,39,86,3.0454545454545454,22
KCS Old Boys,Old Westminsters,5,1,6,2.5,2
KCS Old Boys,Old Wykehamists,38,27,65,2.5,14
KCS Old Boys,Phoenix Old Boys,4,5,9,5.0,1
KCS Old Boys,Queen Mary College Old Boys,3,3,6,5.0,1
KCS Old Boys,UCL Academicals,5,1,6,2.0,1
KCS Old Boys,West Fulham,4,2,6,3.0,1
KCS Old Boys II,Alleyn Old Boys III,2,3,5,4.0,1
KCS Old Boys II,Lancing Old Boys II,4,2,6,3.0,1
KCS Old Boys II,Old Alleynians III,4,6,10,4.0,2
KCS Old Boys II,Old Amplefordians,4,1,5,2.0,1
