Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games 
Old Oundelians,Old Cheltonians,3,27,30,1.4,5
Old Oundelians,Old Cholmeleians III,5,0,5,0.0,1
Old Oundelians,Old Cholmeleians IV,4,1,5,2.0,1
Old Oundelians,Old Citizens,2,2,4,5.0,1
Old Oundelians,Old Cranleighans,1,1,2,4.0,1
Old Oundelians,Old Eastbournians,2,5,7,3.5,2
Old Oundelians,Old Haberdashers,5,4,9,5.0,1
Old Oundelians,Old Harrovians III,10,5,15,3.0,2
Old Oundelians,Old Johnians II,1,7,8,2.0,2
Old Oundelians,Old Kimboltonians,8,2,10,0.0,1
Old Oundelians,Old Kingstonians,4,12,16,3.0,4
Old Oundelians,Old Malvernians II,5,2,7,3.5,2
Old Oundelians,Old Merchant Taylors,3,6,9,3.0,1
Old Oundelians,Old Merchant Taylors II,5,2,7,2.0,1
Old Oundelians,Old Millhillians,2,4,6,4.0,2
Old Oundelians,Old Rugbeians,7,7,14,4.5,2
Old Oundelians,Old Salopians II,7,29,36,1.4,5
Old Oundelians,Old Sennockians,3,1,4,3.0,1
Old Oundelians,Old Stoics,8,11,19,3.2,5
Old Oundelians,Old Tonbridgians,1,4,5,2.0,1
Old Oundelians,Old Tonbridgians II,11,3,14,2.8,5
Old Oundelians,Old Wellingtonians,3,7,10,2.0,1
Old Oundelians,Old Westminsters II,24,30,54,2.888888888888889,9
Old Oundelians,Old Wykehamists II,7,10,17,2.0,3
Old Oundelians,Oundle School 1st XI,6,4,10,4.0,2
Old Owens,Old Aldenhamians,4,1,5,2.0,1
Old Owens,Old Brentwoods II,3,2,5,4.0,1
Old Owens,Old Carthusians,6,11,17,2.3333333333333335,3
Old Owens,Old Carthusians II,0,2,2,2.0,1
Old Owens,Old Carthusians III,1,3,4,3.0,1
Old Owens,Old Cholmeleians,5,1,6,2.0,1
Old Owens,Old Cholmeleians II,3,4,7,4.0,1
Old Owens,Old Etonians,3,2,5,4.0,1
Old Owens,Old Etonians II,4,6,10,3.0,2
Old Owens,Old Foresters,3,1,4,3.0,1
Old Owens,Old Foresters Vets,1,6,7,0.0,1
Old Owens II,Old Etonians II,4,1,5,2.0,1
Old Parkonians,Kings College Wimbledon II,3,1,4,3.0,1
Old Parkonians,Old Brentwoods,5,6,11,3.5,2
Old Parkonians,Old Brentwoods II,2,2,4,5.0,1
Old Parkonians,Old Brentwoods III,5,0,5,2.0,2
Old Parkonians,Old Brentwoods IV,1,0,1,3.0,1
Old Parkonians,Old Carthusians,11,14,25,2.75,4
Old Parkonians,Old Chigwellians,4,1,5,3.0,2
Old Parkonians,Old Chigwellians III,4,0,4,1.0,1
Old Parkonians,Old Foresters,5,7,12,3.0,2
Old Parkonians,Old Foresters III,13,0,13,1.0,1
Old Parkonians,Old Haberdashers,1,6,7,0.0,1
Old Parkonians,Old Harrovians II,2,1,3,4.0,1
Old Parkonians,Old King's Scholars,10,6,16,1.0,2
Old Parkonians,Old Merchant Taylors,6,1,7,0.0,1
Old Parkonians III,Old Merchant Taylors II,5,2,7,2.0,1
Old Parkonians IV,Old Brentwoods III,4,1,5,2.0,1
Old Parkonians IV,Old Merchant Taylors II,1,7,8,0.0,1
Old Parkonians VI,Old Brentwoods IV,4,5,9,5.0,1
Old Parmiterians,KCS Old Boys,1,3,4,3.0,1
Old Parmiterians,Old Aldenhamians II,9,8,17,2.5,2
Old Parmiterians,Old Ardinians,3,0,3,2.0,1
Old Parmiterians,Old Bancroftians AFC,1,7,8,0.0,1
Old Parmiterians,Old Brentwoods,1,2,3,4.0,1
Old Parmiterians,Old Carthusians II,2,4,6,3.0,1
Old Parmiterians,Old Chigwellians II,0,0,0,4.0,1
Old Parmiterians,Old Cholmeleians II,6,2,8,2.0,1
Old Parmiterians,Old Cholmeleians III,2,0,2,2.0,1
Old Parmiterians,Old Columbans,1,6,7,0.0,1
Old Parmiterians,Old Etonians,3,6,9,1.5,2
Old Parmiterians,Old Etonians II,2,0,2,2.0,1
Old Parmiterians,Old Tonbridgians,6,1,7,0.0,1
Old Parmiterians II,Old Chigwellians II,3,2,5,4.0,1
Old Parmiterians IV,Old Alleynians III,0,0,0,4.0,1
Old Parmiterians IX,Old Merchant Taylors II,1,3,4,3.0,1
Old Parmiterians VII,Old Brentwoods IV,2,7,9,0.0,1
Old Parmiterians VIII,Old Merchant Taylors II,3,2,5,4.0,1
Old Pauline,Kings College Wimbledon II,0,3,3,2.0,1
Old Pauline,Old Brentwoods,0,2,2,2.0,1
Old Pauline,Old Carthusians Vets,2,0,2,2.0,1
Old Pauline,Old Chigwellians II,6,5,11,5.0,1
Old Pauline,Old Etonians,0,5,5,0.0,1
Old Pauline,Old Kingstonians KGS,0,5,5,0.0,1
Old Pauline,Old Rugbeians,7,4,11,3.0,2
Old Pegasonians F.C.,Old Aldenhamians,3,6,9,3.5,2
Old Radleians,KCS Old Boys,5,6,11,3.6666666666666665,3
Old Radleians,Kings College Wimbledon II,3,2,5,4.0,2
Old Radleians,Lancing Old Boys,5,12,17,3.0,4
Old Radleians,Lancing Old Boys II,10,0,10,0.5,2
Old Radleians,Old Aldenhamians,37,36,73,2.5,16
Old Radleians,Old Alleynians AFC,8,11,19,3.75,4
Old Radleians,Old Alleynians II,6,9,15,3.75,4
Old Radleians,Old Amplefordians,5,4,9,5.0,1
Old Radleians,Old Ardinians,5,4,9,5.0,1
Old Radleians,Old Berkhamstedians,11,11,22,4.2,5
Old Radleians,Old Bradfieldians,23,26,49,3.9,10
Old Radleians,Old Brentwoods,5,24,29,1.5,4
Old Radleians,Old Carthusians,1,16,17,0.0,2
Old Radleians,Old Carthusians II,14,13,27,4.2,5
Old Radleians,Old Carthusians III,12,2,14,1.5,2
Old Radleians,Old Chigwellians,5,21,26,2.2,5
Old Radleians,Old Chigwellians II,13,8,21,2.6,5
Old Radleians,Old Cholmeleians,13,20,33,3.7142857142857144,7
Old Radleians,Old Cholmeleians II,4,4,8,3.5,2
Old Radleians,Old Citizens,2,7,9,0.0,1
Old Radleians,Old Columbans,1,1,2,4.0,1
Old Radleians,Old Epsomians,11,2,13,1.0,1
Old Radleians,Old Etonians,0,7,7,1.5,2
Old Radleians,Old Etonians II,23,28,51,2.7777777777777777,9
Old Radleians,Old Foresters,1,4,5,2.0,1
Old Radleians,Old Foresters II,2,6,8,3.0,2
Old Radleians,Old Haileyburians,25,19,44,2.75,8
Old Radleians,Old Harrovians,15,14,29,3.375,8
Old Radleians,Old Harrovians II,23,14,37,3.625,8
Old Radleians,Old Johnians,4,17,21,2.5,4
Old Radleians,Old Kimboltonians,11,10,21,3.0,4
Old Radleians,Old King's Scholars,13,7,20,2.25,4
Old Radleians,Old Malvernians,45,52,97,3.7222222222222223,18
Old Radleians,Old Marlburians,16,21,37,3.7777777777777777,9
Old Radleians,Old Merchant Taylors,15,6,21,3.0,4
Old Radleians,Old Merchant Taylors',5,8,13,1.5,2
Old Radleians,Old Millfieldians,6,12,18,3.0,2
Old Radleians,Old Reptonians,34,39,73,2.923076923076923,13
Old Radleians,Old Rugbeians,5,4,9,4.5,2
Old Radleians,Old Salopians,11,9,20,3.2,5
Old Radleians,Old Sennockians,16,5,21,2.25,4
Old Radleians,Old Tonbridgians,9,17,26,3.6,5
Old Radleians,Old Tonbridgians II,3,4,7,4.0,1
Old Radleians,Old Wellingtonians,14,10,24,3.2,5
Old Radleians,Old Westminsters,29,31,60,2.6666666666666665,12
Old Radleians,Old Wykehamists,37,45,82,2.9375,16
Old Radleians,Radley College 1st XI,24,16,40,4.0,6
Old Reptonians,Brent,5,0,5,0.0,1
Old Reptonians,Citigroup,3,1,4,3.0,1
Old Reptonians,Globe Rangers,3,1,4,3.0,1
Old Reptonians,Hale End Athletic,0,1,1,3.0,1
Old Reptonians,IB Albion,2,1,3,4.0,1
Old Reptonians,KCS Old Boys,39,30,69,2.6,15
Old Reptonians,Lancing Old Boys,12,17,29,2.2857142857142856,7
Old Reptonians,Lancing Old Boys II,4,1,5,3.0,2
Old Reptonians,Mill Hill Village,1,4,5,2.0,1
Old Reptonians,NUFC Oilers,3,2,5,4.0,1
Old Reptonians,Old Aldenhamians,52,23,75,1.9285714285714286,14
Old Reptonians,Old Alleynians,19,21,40,3.375,8
Old Reptonians,Old Alleynians AFC,7,16,23,1.0,3
Old Reptonians,Old Amplefordians,4,0,4,1.0,1
Old Reptonians,Old Bancroftians AFC,4,1,5,2.0,1
Old Reptonians,Old Berkhamstedians,39,25,64,2.3333333333333335,12
Old Reptonians,Old Bradfieldians,43,34,77,3.0,17
Old Reptonians,Old Brentwoods,16,34,50,2.6666666666666665,12
Old Reptonians,Old Carthusians,4,16,20,3.1,10
Old Reptonians,Old Carthusians II,6,1,7,2.0,2
Old Reptonians,Old Carthusians III,4,5,9,4.5,2
Old Reptonians,Old Chigwellians,26,29,55,3.25,12
Old Reptonians,Old Chigwellians II,7,2,9,2.0,2
Old Reptonians,Old Cholmeleians,47,20,67,2.6666666666666665,15
Old Reptonians,Old Cholmeleians II,10,2,12,1.5,2
Old Reptonians,Old Eastbournians,8,0,8,0.0,1
Old Reptonians,Old Etonians,27,7,34,1.6666666666666667,6
Old Reptonians,Old Foresters,10,10,20,3.8,5
Old Reptonians,Old Foresters II,1,2,3,4.0,1
Old Reptonians,Old Haberdashers,9,6,15,4.0,2
Old Reptonians,Old Haileyburians,18,10,28,3.0,7
Old Reptonians,Old Harrovians,17,15,32,2.5,8
Old Reptonians,Old Johnians,2,0,2,2.0,1
Old Reptonians,Old Kimboltonians,3,2,5,4.0,2
Old Reptonians,Old King's Scholars,13,1,14,1.3333333333333333,3
Old Reptonians,Old Kingstonians KGS,3,0,3,2.0,1
Old Reptonians,Old Magdalenians,8,0,8,0.0,1
Old Reptonians,Old Malvernians,38,29,67,2.533333333333333,15
Old Reptonians,Old Marlburians,27,35,62,2.3333333333333335,12
Old Reptonians,Old Millfieldians,6,5,11,3.0,4
Old Reptonians,Old Radleians,39,34,73,2.923076923076923,13
Old Reptonians,Old Rugbeians,6,3,9,3.6666666666666665,3
Old Reptonians,Old Salopians,14,8,22,2.8,5
Old Reptonians,Old Salopians II,5,6,11,4.5,2
Old Reptonians,Old Sennockians,9,1,10,0.0,1
Old Reptonians,Old Shirburnians,3,1,4,3.0,1
Old Reptonians,Old Suttonians SV,5,1,6,2.0,1
Old Reptonians,Old Tollingtonians,3,2,5,4.0,1
Old Reptonians,Old Tonbridgians,12,12,24,3.875,8
Old Reptonians,Old Uffingtonians FC,2,3,5,4.0,1
Old Reptonians,Old Vaughanians,2,4,6,3.0,1
Old Reptonians,Old Wellingtonians,17,12,29,3.625,8
Old Reptonians,Old Westminsters,25,12,37,3.5,12
Old Reptonians,Old Wokingians,0,4,4,1.0,1
Old Reptonians,Old Wykehamists,30,21,51,2.923076923076923,13
Old Reptonians,Repton School 1st XI,5,3,8,4.0,6
Old Reptonians,Sinjun Grammarians,3,4,7,4.0,1
Old Reptonians,Southgate County,6,3,9,3.0,1
Old Reptonians,Spaniards,0,1,1,3.0,1
Old Reptonians,UCL Academicals,7,2,9,0.0,1
Old Reptonians,Vauxhall Invitational XI,3,1,4,3.0,1
Old Reptonians,Witan,0,5,5,0.0,1
Old Reptonians Vets,KCS Old Boys Vets,2,2,4,5.0,1
Old Reptonians Vets,Lancing Old Boys Vets,2,8,10,0.0,1
Old Reptonians Vets,Old Bradfieldians Vets,0,2,2,2.0,1
Old Reptonians Vets,Old Brentwoods Vets,4,4,8,3.0,2
Old Reptonians Vets,Old Carthusians Vets,4,12,16,1.5,2
Old Reptonians Vets,Old Chigwellians Vets,4,6,10,4.0,1
Old Reptonians Vets,Old Cholmeleians Vets,6,11,17,3.3333333333333335,3
Old Reptonians Vets,Old Etonians Vets,5,5,10,0.0,2
Old Reptonians Vets,Old Harrovians Vets,12,16,28,3.5,4
Old Reptonians Vets,Old Malvernians Vets,2,6,8,2.5,2
Old Reptonians Vets,Old Salopians Vets,2,6,8,2.0,1
Old Reptonians Vets,Old Tonbridgians Vets,3,1,4,3.0,1
Old Reptonians Vets,Old Wellingtonians Vets,1,5,6,2.0,1
Old Reptonians Vets,Old Westminsters Vets,2,2,4,5.0,1
Old Rugbeians,Alleyn Old Boys,1,3,4,3.0,1
Old Rugbeians,Clissold Park Rangers,2,1,3,4.0,1
Old Rugbeians,Jersey Royals,4,0,4,1.0,1
Old Rugbeians,KCS Old Boys,1,2,3,4.0,1
Old Rugbeians,Kings College Wimbledon III,7,6,13,3.0,3
Old Rugbeians,Kings Old Boys,1,0,1,3.0,1
Old Rugbeians,Lancing Old Boys,10,6,16,3.4,5
Old Rugbeians,Old Albanians SA,3,2,5,4.0,1
Old Rugbeians,Old Aldenhamians,12,7,19,2.3333333333333335,3
Old Rugbeians,Old Aldenhamians II,7,2,9,2.5,2
Old Rugbeians,Old Alleynians,1,8,9,0.0,1
Old Rugbeians,Old Alleynians AFC,1,2,3,4.0,1
Old Rugbeians,Old Alleynians AFC II,14,9,23,2.4,5
Old Rugbeians,Old Aloysians,2,1,3,4.0,1
Old Rugbeians,Old Amplefordians,8,7,15,4.0,4
Old Rugbeians,Old Ardinians,5,9,14,3.5,2
Old Rugbeians,Old Bancroftians AFC,15,1,16,1.3333333333333333,3
Old Rugbeians,Old Berkhamstedians,16,9,25,3.6,5
Old Rugbeians,Old Bradfieldians,1,5,6,2.0,1
Old Rugbeians,Old Brentwoods,3,6,9,3.0,1
Old Rugbeians,Old Carthusians,0,4,4,1.0,1
Old Rugbeians,Old Carthusians II,1,10,11,1.0,2
Old Rugbeians,Old Carthusians III,14,11,25,2.0,5
Old Rugbeians,Old Chigwellians,16,19,35,3.4,5
Old Rugbeians,Old Chigwellians II,1,2,3,4.0,1
Old Rugbeians,Old Chigwellians III,5,3,8,4.0,1
Old Rugbeians,Old Cholmeleians,6,17,23,2.5,4
Old Rugbeians,Old Cholmeleians II,2,0,2,2.0,1
Old Rugbeians,Old Columbans,7,5,12,4.0,2
Old Rugbeians,Old Dorkinians,5,3,8,4.0,1
Old Rugbeians,Old Epsomians,14,7,21,2.25,4
Old Rugbeians,Old Epsomians II,4,1,5,2.0,1
Old Rugbeians,Old Esthameians,1,4,5,2.0,1
Old Rugbeians,Old Etonians II,4,2,6,3.6666666666666665,3
Old Rugbeians,Old Foresters,3,8,11,3.0,3
Old Rugbeians,Old Foresters II,9,2,11,2.0,2
Old Rugbeians,Old Foresters III,9,1,10,2.0,2
Old Rugbeians,Old Harrovians,17,19,36,4.2,5
Old Rugbeians,Old Harrovians II,4,4,8,3.0,2
Old Rugbeians,Old Harrovians III,11,5,16,2.3333333333333335,3
Old Rugbeians,Old Johnians,8,11,19,2.75,4
Old Rugbeians,Old Johnians FC,10,20,30,3.25,8
Old Rugbeians,Old Kimboltonians,6,5,11,5.0,2
Old Rugbeians,Old Malvernians,20,8,28,2.1666666666666665,6
Old Rugbeians,Old Malvernians II,12,7,19,3.25,4
Old Rugbeians,Old Marlburians,14,26,40,2.625,8
Old Rugbeians,Old Meadonians,5,3,8,4.0,1
Old Rugbeians,Old Merchant Taylors,6,4,10,4.0,2
Old Rugbeians,Old Merchant Taylors II,5,2,7,3.5,2
Old Rugbeians,Old Millhillians,2,3,5,4.0,1
Old Rugbeians,Old Oundelians,7,7,14,4.5,2
Old Rugbeians,Old Pauline,4,7,11,3.0,2
Old Rugbeians,Old Radleians,4,5,9,4.5,2
Old Rugbeians,Old Reptonians,3,6,9,3.6666666666666665,3
Old Rugbeians,Old Salopians,16,17,33,3.3333333333333335,9
Old Rugbeians,Old Salopians II,11,2,13,1.0,2
Old Rugbeians,Old Sedcopians,3,1,4,3.0,1
Old Rugbeians,Old Sennockians,4,4,8,2.6666666666666665,3
Old Rugbeians,Old Shirburnians,1,0,1,3.0,1
Old Rugbeians,Old Stoics,15,2,17,1.0,3
Old Rugbeians,Old Strand Academicals,4,1,5,2.0,1
Old Rugbeians,Old Suttonians SV,11,10,21,3.75,4
Old Rugbeians,Old Thorntonians,12,2,14,1.0,1
Old Rugbeians,Old Tonbridgians,2,8,10,2.0,2
Old Rugbeians,Old Tonbridgians II,13,21,34,2.857142857142857,7
Old Rugbeians,Old Wellingtonians,5,4,9,4.5,2
Old Rugbeians,Old Westminsters,18,21,39,3.2,10
Old Rugbeians,Old Westminsters II,16,5,21,1.75,4
Old Rugbeians,Old Wykehamists,4,6,10,3.3333333333333335,3
Old Rugbeians,Old Wykehamists II,5,8,13,2.6666666666666665,3
Old Rugbeians,Rugby School,7,1,8,2.3333333333333335,3
Old Rugbeians,Shene Old Grammarians,4,4,8,6.0,1
Old Rugbeians,Sinjun Grammarians,3,0,3,2.0,1
Old Rugbeians II,Old Berkhamstedians II,2,5,7,2.0,1
Old Rugbeians II,Old Harrovians II,0,9,9,0.0,1
Old Salesians,Kings College Wimbledon II,2,1,3,4.0,1
Old Salesians,Old Foresters,2,0,2,2.0,1
Old Salopians,Albanian FC,1,2,3,4.0,1
Old Salopians,Alleyn Old Boys,1,3,4,3.0,1
Old Salopians,Broomfield FC,2,4,6,3.0,1
Old Salopians,Ibis Eagles,2,1,3,4.0,1
Old Salopians,KCS Old Boys,29,31,60,2.857142857142857,14
Old Salopians,Lancing Old Boys,50,47,97,2.8947368421052633,19
Old Salopians,NUFC Oilers,0,3,3,2.5,2
Old Salopians,Old Aldenhamians,9,2,11,1.5,2
Old Salopians,Old Alleynians AFC,3,5,8,2.75,4
Old Salopians,Old Amplefordians,2,1,3,4.0,1
Old Salopians,Old Ardinians,3,12,15,2.0,3
Old Salopians,Old Berkhamstedians,17,11,28,3.1666666666666665,6
Old Salopians,Old Bradfieldians,10,14,24,3.857142857142857,7
Old Salopians,Old Brentwoods,20,12,32,2.8181818181818183,11
Old Salopians,Old Carthusians,18,59,77,2.6,15
Old Salopians,Old Chigwellians,33,39,72,2.9375,16
Old Salopians,Old Cholmeleians,22,16,38,3.1,10
Old Salopians,Old Eastbournians,5,0,5,0.0,1
Old Salopians,Old Etonians,23,24,47,3.5,16
Old Salopians,Old Foresters,19,44,63,3.176470588235294,17
Old Salopians,Old Haileyburians,11,1,12,1.0,2
Old Salopians,Old Harrovians,38,20,58,3.2857142857142856,14
Old Salopians,Old Ignatians,2,2,4,5.0,1
Old Salopians,Old Johnians,8,13,21,2.25,4
Old Salopians,Old Kimboltonians,14,5,19,2.75,4
Old Salopians,Old King's Scholars,7,1,8,2.0,2
Old Salopians,Old Malvernians,33,15,48,2.9,10
Old Salopians,Old Marlburians,35,27,62,2.8666666666666667,15
Old Salopians,Old Radleians,9,11,20,3.2,5
Old Salopians,Old Reptonians,8,14,22,2.8,5
Old Salopians,Old Rugbeians,17,16,33,3.3333333333333335,9
Old Salopians,Old Sennockians,4,1,5,2.0,1
Old Salopians,Old Shirburnians,4,0,4,1.0,1
Old Salopians,Old Tonbridgians,27,43,70,2.5294117647058822,17
Old Salopians,Old Westminsters,27,21,48,2.4,10
Old Salopians,Old Wokingians I,1,3,4,3.0,1
Old Salopians,Old Wykehamists,18,17,35,3.2222222222222223,9
Old Salopians,Shrewsbury School 1st XI,11,4,15,3.0,8
Old Salopians,South Bank Cuaco,3,0,3,2.0,1
Old Salopians,Southgate County,2,3,5,4.0,1
Old Salopians II,AFC Oldsmiths,2,1,3,4.0,1
Old Salopians II,Alexandra Park FC,2,3,5,4.0,1
Old Salopians II,Economicals,2,1,3,4.0,1
Old Salopians II,Kings College Wimbledon II,12,9,21,3.25,4
Old Salopians II,Lancing Old Boys II,7,11,18,3.1666666666666665,6
Old Salopians II,Latymer Old Boys,1,4,5,2.0,1
Old Salopians II,Old Aldenhamians II,21,12,33,2.888888888888889,9
Old Salopians II,Old Alleynians AFC,4,11,15,2.0,2
Old Salopians II,Old Alleynians AFC II,3,8,11,0.0,1
Old Salopians II,Old Amplefordians,5,14,19,1.6666666666666667,3
Old Salopians II,Old Ardinians,0,4,4,2.5,2
Old Salopians II,Old Ardinians II,1,6,7,2.0,2
Old Salopians II,Old Bancroftians AFC,3,2,5,4.0,2
Old Salopians II,Old Berkhamstedians,2,7,9,3.0,2
Old Salopians II,Old Berkhamstedians II,9,11,20,3.75,4
Old Salopians II,Old Brentwoods II,8,15,23,3.5,6
Old Salopians II,Old Brentwoods IV,10,18,28,1.0,5
Old Salopians II,Old Canfordians,11,10,21,2.0,3
Old Salopians II,Old Carthusians II,4,10,14,3.25,4
Old Salopians II,Old Carthusians III,8,17,25,2.3333333333333335,6
Old Salopians II,Old Cheltonians,17,20,37,3.5,6
Old Salopians II,Old Chigwellians II,11,23,34,2.0,8
Old Salopians II,Old Cholmeleians II,4,13,17,2.5,4
Old Salopians II,Old Citizens,13,27,40,3.0,8
Old Salopians II,Old Cranleighans,1,1,2,4.0,1
Old Salopians II,Old Eastbournians,25,16,41,3.7,10
Old Salopians II,Old Epsomians,12,27,39,3.2,10
Old Salopians II,Old Etonians II,2,9,11,1.5,2
Old Salopians II,Old Haberdashers,26,20,46,3.0,9
Old Salopians II,Old Harrovians II,5,14,19,2.8333333333333335,6
Old Salopians II,Old Harrovians III,3,7,10,3.0,2
Old Salopians II,Old Johnians FC,4,6,10,3.0,2
Old Salopians II,Old Johnians II,2,8,10,2.0,2
Old Salopians II,Old Kimboltonians,1,3,4,2.5,2
Old Salopians II,Old King's Scholars,2,4,6,3.0,1
Old Salopians II,Old Kingstonians,16,19,35,1.6666666666666667,6
Old Salopians II,Old Kingstonians KGS,1,5,6,2.0,1
Old Salopians II,Old Malvernians II,9,2,11,2.0,2
Old Salopians II,Old Marlburians,2,7,9,2.5,2
Old Salopians II,Old Merchant Taylors,4,3,7,4.0,2
Old Salopians II,Old Millfieldians,0,8,8,1.0,2
Old Salopians II,Old Minchendenians,2,9,11,0.0,1
Old Salopians II,Old Oundelians,29,7,36,1.4,5
Old Salopians II,Old Reptonians,6,5,11,4.5,2
Old Salopians II,Old Rugbeians,2,11,13,1.0,2
Old Salopians II,Old Sennockians,7,14,21,1.8333333333333333,6
Old Salopians II,Old Shirburnians,0,2,2,3.0,2
Old Salopians II,Old Stoics,14,22,36,3.1666666666666665,6
Old Salopians II,Old Tonbridgians II,8,14,22,3.8,5
Old Salopians II,Old Wellingtonians,15,14,29,2.8333333333333335,6
Old Salopians II,Old Westminster Citizens,1,3,4,3.0,1
Old Salopians II,Old Westminsters II,7,22,29,1.75,4
Old Salopians II,Old Woodhouseians,1,5,6,2.0,1
Old Salopians II,Old Wykehamists II,16,14,30,3.5,8
Old Salopians II,Shene Old Grammarians,0,1,1,3.0,1
Old Salopians II,Shrewsbury School 2nd XI,14,11,25,3.0,7
Old Salopians II,South Bank Cuaco,0,4,4,1.0,1
Old Salopians Vets,KCS Old Boys Vets,2,4,6,3.0,1
Old Salopians Vets,Lancing Old Boys Vets,6,0,6,0.0,1
Old Salopians Vets,Old Aldenhamians Vets,7,4,11,3.5,2
Old Salopians Vets,Old Bradfieldians Vets,16,12,28,3.4,5
Old Salopians Vets,Old Brentwoods Vets,2,9,11,2.3333333333333335,3
Old Salopians Vets,Old Carthusians Vets,2,9,11,0.0,1
Old Salopians Vets,Old Chigwellians Vets,7,11,18,3.3333333333333335,3
Old Salopians Vets,Old Foresters Vets,4,4,8,1.0,2
Old Salopians Vets,Old Harrovians Vets,5,14,19,2.6666666666666665,3
Old Salopians Vets,Old Malvernians Vets,8,0,8,1.0,2
Old Salopians Vets,Old Reptonians Vets,6,2,8,2.0,1
Old Salopians Vets,Old Tonbridgians Vets,3,7,10,1.6666666666666667,3
Old Salopians Vets,Old Wellingtonians Vets,3,3,6,5.0,1
Old Salopians Vets,Old Westminsters Vets,3,6,9,3.0,1
Old Salopians Vets,Old Wykehamists Vets,10,3,13,1.5,2
Old Salvatorians,Old Bancroftians AFC,5,0,5,0.0,1
Old Salvatorians,Old Brentwoods Vets,3,2,5,4.0,1
Old Salvatorians,Old Carthusians,0,5,5,0.0,1
Old Salvatorians,Old Carthusians III,1,3,4,3.0,1
Old Salvatorians,Old Cholmeleians II,5,1,6,2.0,1
Old Salvatorians,Old Foresters II,1,3,4,3.0,1
Old Sedcopians,Lancing Old Boys,4,1,5,2.0,1
Old Sedcopians,Old Aldenhamians,1,2,3,4.0,1
Old Sedcopians,Old Berkhamstedians,4,0,4,1.0,1
Old Sedcopians,Old Brentwoods,2,4,6,3.0,1
Old Sedcopians,Old Carthusians II,2,7,9,0.0,1
Old Sedcopians,Old Cholmeleians,4,6,10,4.0,2
Old Sedcopians,Old Cholmeleians II,2,1,3,4.0,1
Old Sedcopians,Old Rugbeians,1,3,4,3.0,1
Old Sennockians,Glyn Old Boys,0,2,2,2.0,1
Old Sennockians,KCS Old Boys II,3,2,5,3.0,2
Old Sennockians,Kings College Wimbledon II,5,4,9,3.0,4
Old Sennockians,Lancing Old Boys,1,6,7,0.0,1
Old Sennockians,Lancing Old Boys II,1,5,6,2.6666666666666665,3
Old Sennockians,National Westminster Bank,3,0,3,2.0,1
Old Sennockians,Old Albanians,4,0,4,1.0,1
Old Sennockians,Old Aldenhamians,17,20,37,3.0,7
Old Sennockians,Old Aldenhamians II,8,6,14,3.25,4
Old Sennockians,Old Alleynians AFC,0,10,10,1.3333333333333333,3
Old Sennockians,Old Alleynians II,7,14,21,2.75,4
Old Sennockians,Old Alleynians III,6,8,14,3.25,4
Old Sennockians,Old Amplefordians,21,7,28,2.0,5
Old Sennockians,Old Ardinians,5,1,6,2.0,1
Old Sennockians,Old Berkhamstedians,8,8,16,4.0,3
Old Sennockians,Old Berkhamstedians II,5,7,12,4.0,2
Old Sennockians,Old Brentwoods,0,5,5,0.0,1
Old Sennockians,Old Brentwoods II,7,13,20,3.4,5
Old Sennockians,Old Brentwoods III,20,5,25,1.8,5
Old Sennockians,Old Brentwoods IV,7,7,14,4.5,2
Old Sennockians,Old Carthusians II,16,27,43,3.1,10
Old Sennockians,Old Carthusians III,9,16,25,2.5,4
Old Sennockians,Old Challoners,0,0,0,4.0,1
Old Sennockians,Old Chigwellians,3,10,13,2.0,2
Old Sennockians,Old Chigwellians II,16,10,26,3.3,10
Old Sennockians,Old Chigwellians III,5,3,8,2.6666666666666665,3
Old Sennockians,Old Cholmeleians,2,1,3,4.0,1
Old Sennockians,Old Cholmeleians II,3,3,6,4.0,2
Old Sennockians,Old Cholmeleians III,8,6,14,3.0,2
Old Sennockians,Old Cholmeleians IV,10,6,16,4.0,2
Old Sennockians,Old Citizens,8,14,22,2.5,4
Old Sennockians,Old Columbans,4,4,8,3.5,2
Old Sennockians,Old Eastbournians,17,8,25,3.5,6
Old Sennockians,Old Epsomians,21,16,37,2.7777777777777777,9
Old Sennockians,Old Etonians II,11,24,35,2.7777777777777777,9
Old Sennockians,Old Foresters II,7,4,11,2.3333333333333335,3
Old Sennockians,Old Foresters III,13,3,16,2.0,3
Old Sennockians,Old Haberdashers,23,12,35,2.7142857142857144,7
Old Sennockians,Old Haileyburians,8,1,9,2.0,2
Old Sennockians,Old Hamptonians,3,1,4,3.0,1
Old Sennockians,Old Harrovians II,20,30,50,3.4166666666666665,12
Old Sennockians,Old Harrovians III,16,7,23,0.25,4
Old Sennockians,Old Johnians,3,10,13,2.5,4
Old Sennockians,Old Johnians FC,2,2,4,3.5,2
Old Sennockians,Old Kimboltonians,4,10,14,3.0,3
Old Sennockians,Old Malvernians,2,5,7,3.0,2
Old Sennockians,Old Meadonians,5,6,11,5.0,1
Old Sennockians,Old Merchant Taylors,14,8,22,2.8333333333333335,6
Old Sennockians,Old Merchant Taylors',9,5,14,1.5,2
Old Sennockians,Old Millhillians,4,10,14,2.6666666666666665,3
Old Sennockians,Old Oundelians,1,3,4,3.0,1
Old Sennockians,Old Radleians,5,16,21,2.25,4
Old Sennockians,Old Reptonians,1,9,10,0.0,1
